,mpg,cylinders,displacement,horsepower,weight,acceleration
0,18.0,8.0,307.0,130.0,3504.0,12.0
1,15.0,8.0,350.0,165.0,3693.0,11.5
2,18.0,8.0,318.0,150.0,3436.0,11.0
3,16.0,8.0,304.0,150.0,3433.0,12.0
4,17.0,8.0,302.0,140.0,3449.0,10.5
5,15.0,8.0,429.0,198.0,4341.0,10.0
6,14.0,8.0,454.0,220.0,4354.0,9.0
7,14.0,8.0,440.0,215.0,4312.0,8.5
8,14.0,8.0,455.0,225.0,4425.0,10.0
9,15.0,8.0,390.0,190.0,3850.0,8.5
15,15.0,8.0,383.0,170.0,3563.0,10.0
16,14.0,8.0,340.0,160.0,3609.0,8.0
18,15.0,8.0,400.0,150.0,3761.0,9.5
19,14.0,8.0,455.0,225.0,3086.0,10.0
20,24.0,4.0,113.0,95.0,2372.0,15.0
21,22.0,6.0,198.0,95.0,2833.0,15.5
22,18.0,6.0,199.0,97.0,2774.0,15.5
23,21.0,6.0,200.0,85.0,2587.0,16.0
24,27.0,4.0,97.0,88.0,2130.0,14.5
25,26.0,4.0,97.0,46.0,1835.0,20.5
26,25.0,4.0,110.0,87.0,2672.0,17.5
27,24.0,4.0,107.0,90.0,2430.0,14.5
28,25.0,4.0,104.0,95.0,2375.0,17.5
29,26.0,4.0,121.0,113.0,2234.0,12.5
30,21.0,6.0,199.0,90.0,2648.0,15.0
31,10.0,8.0,360.0,215.0,4615.0,14.0
32,10.0,8.0,307.0,200.0,4376.0,15.0
33,11.0,8.0,318.0,210.0,4382.0,13.5
34,9.0,8.0,304.0,193.0,4732.0,18.5
35,27.0,4.0,97.0,88.0,2130.0,14.5
36,28.0,4.0,140.0,90.0,2264.0,15.5
37,25.0,4.0,113.0,95.0,2228.0,14.0
40,19.0,6.0,232.0,100.0,2634.0,13.0
41,16.0,6.0,225.0,105.0,3439.0,15.5
42,17.0,6.0,250.0,100.0,3329.0,15.5
43,19.0,6.0,250.0,88.0,3302.0,15.5
44,18.0,6.0,232.0,100.0,3288.0,15.5
45,14.0,8.0,350.0,165.0,4209.0,12.0
46,14.0,8.0,400.0,175.0,4464.0,11.5
47,14.0,8.0,351.0,153.0,4154.0,13.5
48,14.0,8.0,318.0,150.0,4096.0,13.0
49,12.0,8.0,383.0,180.0,4955.0,11.5
50,13.0,8.0,400.0,170.0,4746.0,12.0
51,13.0,8.0,400.0,175.0,5140.0,12.0
52,18.0,6.0,258.0,110.0,2962.0,13.5
53,22.0,4.0,140.0,72.0,2408.0,19.0
54,19.0,6.0,250.0,100.0,3282.0,15.0
55,18.0,6.0,250.0,88.0,3139.0,14.5
56,23.0,4.0,122.0,86.0,2220.0,14.0
57,28.0,4.0,116.0,90.0,2123.0,14.0
58,30.0,4.0,79.0,70.0,2074.0,19.5
59,30.0,4.0,88.0,76.0,2065.0,14.5
60,31.0,4.0,71.0,65.0,1773.0,19.0
61,35.0,4.0,72.0,69.0,1613.0,18.0
