race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
White,1,39,3.1,GL,-0.98,0.782738095,1
White,1,36,3,GL,0.09,0.735714286,1
White,2,30,3.1,MS,-0.35,0.670238095,1
Hispanic,2,39,2.2,NE,0.58,0.69702381,1
White,1,37,3.4,GL,-1.26,0.786309524,1
White,1,30.5,3.6,GL,0.3,0.724107143,1
White,2,36,3.6,GL,-0.1,0.792857143,1
White,2,37,2.7,NE,-0.12,0.719642857,0
White,1,37,2.6,GL,1.53,0.710119048,1
White,2,31,3.6,GL,0.34,0.730357143,1
White,2,41,3.2,GL,1.53,0.817261905,1
White,2,35,3.1,GL,-0.68,0.732738095,1
White,1,35,3.2,NE,-0.17,0.742261905,1
White,2,35,2.9,NG,-0.42,0.713690476,1
White,2,41,2.3,NG,-0.35,0.731547619,1
White,2,30.5,3.3,GL,0.85,0.695535714,1
White,1,36,3,GL,0.04,0.735714286,1
White,2,40,3.9,GL,2.48,0.871428571,1
White,2,36,3.4,GL,0.27,0.773809524,1
White,2,29,2.7,GL,0.88,0.619642857,1
White,2,37,3.2,GL,0.58,0.767261905,1
White,2,30,3.1,MS,1.99,0.670238095,1
White,2,40,3.1,GL,-0.8,0.795238095,1
Asian,2,31,3.1,GL,0.51,0.682738095,1
White,1,37,3.6,GL,0.81,0.805357143,1
Black,2,29,2.8,NE,-1.03,0.629166667,1
White,2,34,2.8,GL,-0.12,0.691666667,1
White,2,35,3,NE,-0.61,0.723214286,1
White,2,40,3.4,GL,-0.73,0.823809524,1
White,2,36,2.6,NE,-0.63,0.697619048,1
White,2,29,2.9,MS,-0.02,0.638690476,1
White,2,35,2.5,NG,0.02,0.675595238,1
White,2,32,3.4,SE,0.65,0.723809524,1
White,1,36,2.7,NE,-0.05,0.707142857,1
White,2,36,3.3,GL,0.53,0.764285714,1
White,2,36,2.5,MS,-1.1,0.688095238,0
White,2,38,3.6,GL,1.41,0.817857143,1
White,2,36,3.6,GL,1.18,0.792857143,1
White,2,32.5,3.2,MS,0.76,0.711011905,1
White,1,27,3.5,GL,-1.05,0.670833333,0
White,2,36,2.4,GL,0.39,0.678571429,1
Black,1,19,3.2,GL,-0.7,0.542261905,0
White,1,34,3.7,GL,1.23,0.777380952,1
White,1,35,3.1,GL,1.71,0.732738095,1
Hispanic,1,31,3.2,NG,-0.82,0.692261905,1
White,2,36,2.8,NE,-0.17,0.716666667,1
Other,2,32,3,GL,-0.63,0.685714286,1
White,1,38,3.7,GL,-0.05,0.827380952,1
White,2,34,3.2,Mt,0.37,0.729761905,1
White,2,38,2.8,GL,0.44,0.741666667,1
White,1,36,3.4,MS,0.46,0.773809524,1
White,1,42,3.5,GL,-0.42,0.858333333,1
White,2,29,2.3,GL,-0.93,0.581547619,0
White,2,31,3.7,GL,-0.49,0.739880952,1
Black,1,23,2.6,NE,0.48,0.535119048,1
White,2,37,3.8,GL,0.72,0.824404762,1
White,1,33,3.3,GL,-1.24,0.726785714,1
White,2,35,3.3,GL,-0.7,0.751785714,1
