,dsp_spend,sp_spend,dpv,discount,sale,activity_date,year,quarter,month,special_shopping_event,other_shopping_event
0,11864.79939007542,2609.702788651283,54954.82315031493,26167.824598765008,75554.4067306238,2023-01-01,2023,1,1,0,0
1,11084.057109563157,2568.5405700077863,44907.06332439528,22340.00978019588,51372.31323039973,2023-01-02,2023,1,1,0,0
2,16680.85094508223,2847.5766997879546,151643.91256440204,68301.74781275046,626394.8812144699,2023-01-03,2023,1,1,0,0
3,15473.576264164849,2788.5158311368946,121173.34395492656,18906.05040207389,306000.2263379278,2023-01-04,2023,1,1,0,0
4,10308.414301882533,2523.591011443533,36234.26733708955,18198.68956273316,34571.26049581097,2023-01-05,2023,1,1,0,0
5,10232.30211262704,2528.959021650041,35453.504307967065,16288.18249725933,33723.320134863665,2023-01-06,2023,1,1,0,0
6,18216.16798006628,2919.783223569294,197272.6279501113,8984.63606336424,744198.1045323798,2023-01-07,2023,1,1,0,0
7,11668.72741723972,2600.899296446209,52302.8396910233,5347.027196956714,77628.33992848163,2023-01-08,2023,1,1,0,0
8,17742.97177960391,2903.693774365427,182355.08294770832,61099.870067087,752215.4096822387,2023-01-09,2023,1,1,0,0
9,19521.200436956075,2999.502631213432,242633.0504617637,68518.42881589451,1251600.909327514,2023-01-10,2023,1,1,0,0
10,13072.598745355604,2661.3900465064344,73305.34724390542,18656.718008831747,125702.9974698234,2023-01-11,2023,1,1,0,0
11,17761.2949817612,2898.8674525451147,182913.14446326287,18141.23748803216,643301.2362211496,2023-01-12,2023,1,1,0,0
12,14509.752593369334,2738.228195643501,100020.673486747,29272.06627175945,219867.49623885463,2023-01-13,2023,1,1,0,0
13,19230.29687085958,2984.0969155762773,231979.4219692092,114057.78461929904,1932066.0449237183,2023-01-14,2023,1,1,0,0
14,11478.490998067044,2582.961976646522,49808.233523709685,20443.796680875414,62600.14600757819,2023-01-15,2023,1,1,0,0
15,16786.622415122816,2842.926675693305,154525.16384653203,59376.57175928536,574744.6717199716,2023-01-16,2023,1,1,0,0
16,12286.202707333829,2626.7037788916614,60954.2087830851,23692.934197452723,90031.05816948932,2023-01-17,2023,1,1,0,0
17,18113.103822605663,2915.387206957196,193957.6320133564,11293.371081445184,719851.4748333456,2023-01-18,2023,1,1,0,0
18,10847.299870870467,2568.480345484634,42130.9013296506,6369.218284557012,54017.2918878952,2023-01-19,2023,1,1,0,0
19,13529.412597486313,2687.859027171765,81197.97102790904,17219.760865777374,150974.3200003951,2023-01-20,2023,1,1,0,0
20,13297.682115449186,2687.484587511525,77136.29930230968,23834.09968108244,137163.91490532405,2023-01-21,2023,1,1,0,0
21,13505.09815865617,2681.5393221371023,80762.53606162182,9221.420949534217,154421.4368663882,2023-01-22,2023,1,1,0,0
22,10422.016675527972,2537.090082538033,37426.66054020553,8500.742821474036,42767.19908542279,2023-01-23,2023,1,1,0,0
23,18109.20399297196,2929.292689247696,193841.7199383409,95327.59804197845,1239485.3795899283,2023-01-24,2023,1,1,0,0
24,19495.868413942488,2984.9330347356404,241680.3390876149,28652.50067758249,1075118.6469193185,2023-01-25,2023,1,1,0,0
25,18387.17976344641,2928.343351146349,202868.2922582592,93978.29645449486,1277437.139841997,2023-01-26,2023,1,1,0,0
26,18072.976879964783,2925.151864839121,192686.27192183805,40717.693579269566,727864.1746053582,2023-01-27,2023,1,1,0,0
27,19177.75808842361,2970.1450014755665,230077.09646720847,5324.767870304238,988735.2755026588,2023-01-28,2023,1,1,0,0
28,17459.300970463046,2887.189246753852,173778.90086259515,20560.485211699604,585536.360776926,2023-01-29,2023,1,1,0,0
29,16061.431060503195,2849.2923454484685,135472.4957954798,5001.300820144229,382963.7850829072,2023-01-30,2023,1,1,0,0
30,12826.098207204155,2671.3973885640253,69288.28058330722,20627.503452125144,113283.6820311616,2023-01-31,2023,1,1,0,0
31,16075.647775887195,2823.9773802631244,135800.54566311828,37843.72816183444,389555.48137490026,2023-02-01,2023,1,2,0,0
32,13546.713834323898,2693.2794668641027,81513.58352231038,24392.778812971923,151302.4511161723,2023-02-02,2023,1,2,0,0
33,18443.02568411344,2926.40463134506,204706.8715434989,74063.29186824437,1014372.0265444008,2023-02-03,2023,1,2,0,0
34,13031.315973484836,2663.8362797810937,72620.14742615006,2125.614689977087,135476.70304998124,2023-02-04,2023,1,2,0,0
35,14996.322031361808,2760.7691174029,110363.93301179436,34116.53311862405,266932.4863797552,2023-02-05,2023,1,2,0,0
36,20276.101375521303,3037.996329471992,271791.0187736198,63541.64697730196,1464853.0295035124,2023-02-06,2023,1,2,0,0
37,14000.737173415722,2716.6573208922805,89929.4716208581,38085.703829183134,194983.0274708129,2023-02-07,2023,1,2,0,0
38,12661.12550217658,2656.4483029994767,66663.46465378284,31987.697196529905,111111.49965914476,2023-02-08,2023,1,2,0,0
39,12567.68546924611,2645.043473694803,65203.20272138628,19329.51934720818,101866.31601359874,2023-02-09,2023,1,2,0,0
40,12722.889371272577,2656.91872528128,67629.57008609171,30325.91295012124,112196.6715511802,2023-02-10,2023,1,2,0,0
41,14919.745969622134,2769.116878368229,108703.21750958916,41073.59500988695,273590.3473290723,2023-02-11,2023,1,2,0,0
42,16316.1608282432,2821.2456045346034,141950.69080248027,57992.24967813674,498715.0605461084,2023-02-12,2023,1,2,0,0
43,17696.161080702044,2898.8601156039936,180921.6910941552,6400.309350191499,638345.823244303,2023-02-13,2023,1,2,0,0
44,10555.849912395031,2539.909791733273,38870.3160743702,6049.248315125934,47539.70107595,2023-02-14,2023,1,2,0,0
45,13931.477577863576,2711.2503153784965,88602.59812768851,19104.77596585267,175484.41888862776,2023-02-15,2023,1,2,0,0
46,11698.233824478186,2605.688341096548,52702.421707527006,11175.189404276747,73556.83700200902,2023-02-16,2023,1,2,0,0
47,10445.05453971149,2536.8414845877164,37669.46911564137,13198.7587750841,39571.82602997979,2023-02-17,2023,1,2,0,0
