ira,a401,hval,hmort,hequity,nifa,net_nifa,tfa,net_tfa,tfa_he,tw,age,inc,fsize,educ,db,marr,male,twoearn,dum91,e401,p401,pira,nohs,hs,smcol,col,icat,ecat,zhat,net_n401,hown,i1,i2,i3,i4,i5,i6,i7,a1,a2,a3,a4,a5
0,0,69000,60150,8850,100,-3300,100,-3300,5550,53550,31,28146,5,12,0,1,0,0,1,0,0,0,0,1,0,0,3,2,0.273178,-3300,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,78000,20000,58000,61010,61010,61010,61010,119010,124635,52,32634,5,16,0,0,0,0,1,0,0,0,0,0,0,1,4,4,0.3866406,61010,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1800,0,200000,15900,184100,7549,7049,9349,8849,192949,192949,50,52206,3,11,0,1,1,1,1,0,0,1,1,0,0,0,6,1,0.5336504,8849,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,0,2487,-6013,2487,-6013,-6013,-513,28,45252,4,15,0,1,0,1,1,0,0,0,0,0,1,0,5,3,0.3243191,-6013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,300000,90000,210000,10625,-2375,10625,-2375,207625,212087,42,33126,3,12,1,0,0,0,1,0,0,0,0,1,0,0,4,2,0.6028074,-2375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,120000,99600,20400,9000,-11000,9000,-11000,9400,24400,49,76860,6,15,1,1,0,1,1,0,0,0,0,0,1,0,7,3,0.6849159,-11000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,89000,63000,26000,1099,-16901,1099,-16901,9099,33299,40,57477,4,17,1,1,0,1,1,0,0,0,0,0,0,1,6,4,0.6688337,-16901,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,0,1700,1000,1700,1000,1000,2500,58,14637,1,14,0,0,0,0,1,0,0,0,0,0,1,0,2,3,0.1152104,1000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,29,6573,4,12,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0.0278493,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5700,0,0,0,0,800,700,6500,6400,6400,7150,50,5766,1,14,0,0,1,0,1,0,0,1,0,0,1,0,1,3,0.1173758,6400,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000,0,83000,68000,15000,16900,16900,24900,24900,39900,52625,45,43239,1,12,1,0,1,0,1,0,0,1,0,1,0,0,5,2,0.650903,24900,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,0,100,-675,100,-675,-675,-675,25,40323,3,12,0,1,1,1,1,0,0,0,0,1,0,0,5,2,0.3243191,-675,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,-400,0,-400,-400,8100,30,30000,2,14,0,1,0,0,1,0,0,0,0,0,1,0,4,3,0.2951996,-400,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,217,-83,217,-83,-83,2250,27,9612,1,17,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0.0278493,-83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34000,0,12000,235,11765,1400,1400,35400,35400,47165,59519,42,85086,4,12,0,1,1,1,1,0,0,1,0,1,0,0,7,2,0.5801663,35400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
