Henthorn,Hodder Place,Whalley Weir,New Jumbles Rock,Samlesbury
31.9,24.2,10.9,68.2,46.0
31.7,24.5,10.8,68.9,47.0
31.6,24.6,10.7,69.3,48.0
31.5,24.4,10.6,69.6,49.3
31.4,24.3,10.5,69.6,50.8
31.2,23.9,10.5,69.6,52.6
30.9,23.5,10.3,69.1,54.5
30.6,23.2,10.2,68.6,56.6
30.3,22.7,10.0,67.7,59.0
30.0,22.5,9.99,67.1,61.2
29.8,22.3,9.95,66.3,63.4
29.8,22.2,9.86,65.5,65.4
30.5,21.9,9.86,65.1,67.4
31.7,22.1,9.82,64.9,68.6
34.3,22.5,9.82,65.4,69.9
37.0,23.2,9.68,66.3,70.9
39.5,23.9,9.68,68.9,71.4
41.5,24.4,9.55,72.2,71.7
43.1,25.0,9.42,75.2,71.7
44.0,25.2,9.38,77.9,71.4
45.1,25.2,9.29,80.0,71.2
45.6,25.2,9.25,81.4,70.7
46.1,25.3,9.16,82.5,70.2
46.2,25.5,9.16,83.0,69.6
46.2,25.6,9.12,83.5,69.1
46.0,25.6,9.07,84.0,68.8
45.7,25.3,8.99,83.8,68.9
45.5,25.2,8.94,84.0,69.5
44.9,24.8,8.9,83.3,70.7
44.2,24.4,8.83,82.7,72.6
43.5,24.2,8.8,81.9,74.9
43.1,23.8,8.8,81.1,77.3
42.7,23.5,8.72,80.4,79.7
42.2,23.3,8.65,79.5,81.7
41.7,23.5,8.58,78.5,83.8
41.7,23.0,8.55,77.7,85.2
41.7,23.2,8.51,77.3,86.1
41.7,23.5,8.55,76.8,86.9
41.8,23.9,8.55,76.9,87.3
42.5,24.4,8.44,76.6,87.2
44.1,25.4,8.44,77.4,87.1
45.1,26.8,8.44,78.8,86.7
46.8,29.9,8.48,80.6,86.2
48.4,36.2,8.44,83.0,85.6
50.2,46.0,8.2,86.4,84.7
53.6,56.6,8.1,93.0,83.9
58.4,67.9,8.1,104.0,83.1
66.4,78.2,8.13,118.0,82.4
74.6,83.7,7.96,135.0,81.7
83.3,85.6,8.17,153.0,81.2
88.9,87.4,8.0,167.0,80.9
96.0,89.0,8.0,177.0,80.8
104.0,91.3,7.96,186.0,81.1
109.0,92.2,7.93,195.0,82.1
112.0,91.9,7.86,203.0,84.3
114.0,90.5,7.83,209.0,88.1
114.0,89.2,7.83,212.0,95.1
114.0,87.8,7.73,212.0,107.0
113.0,86.0,8.0,211.0,123.0
113.0,83.4,8.44,209.0,141.0
112.0,80.9,8.87,206.0,158.0
112.0,78.1,9.12,203.0,175.0
111.0,76.0,9.25,200.0,188.0
110.0,74.0,9.25,197.0,199.0
108.0,72.5,9.42,194.0,211.0
108.0,70.3,9.73,191.0,217.0
107.0,68.9,10.2,189.0,222.0
106.0,67.5,10.5,186.0,225.0
105.0,65.7,10.7,184.0,226.0
104.0,64.6,11.0,182.0,225.0
104.0,63.4,11.4,180.0,225.0
103.0,61.7,11.7,178.0,223.0
102.0,60.7,12.2,176.0,221.0
101.0,59.2,12.9,174.0,218.0
98.8,57.4,13.7,172.0,216.0
96.6,56.6,14.2,169.0,214.0
95.5,54.9,14.5,167.0,211.0
93.7,53.5,14.8,164.0,208.0
91.7,52.4,15.1,162.0,205.0
90.3,51.2,15.4,159.0,203.0
88.4,50.1,15.6,157.0,200.0
86.1,48.6,15.9,154.0,198.0
83.8,47.4,15.9,151.0,195.0
82.0,46.4,15.9,148.0,193.0
80.2,45.4,15.9,146.0,191.0
78.7,44.4,15.9,143.0,188.0
76.9,43.5,16.0,140.0,186.0
75.0,42.4,15.9,137.0,183.0
73.3,41.6,15.8,135.0,181.0
71.7,40.5,15.5,132.0,178.0
70.0,39.8,15.4,130.0,175.0
68.3,38.9,15.0,128.0,172.0
66.9,38.0,14.8,125.0,169.0
65.6,37.1,14.6,122.0,166.0
64.4,36.3,14.4,120.0,163.0
63.1,35.6,14.2,118.0,160.0
61.6,34.7,13.9,116.0,157.0
60.7,34.2,13.7,113.0,154.0
59.5,33.6,13.5,111.0,151.0
58.3,32.9,13.3,109.0,149.0
57.3,32.3,13.1,108.0,146.0
56.4,32.0,12.8,106.0,143.0
55.6,31.5,12.6,104.0,140.0
54.5,31.1,12.5,103.0,137.0
53.9,30.6,12.2,101.0,134.0
53.0,30.1,12.1,100.0,132.0
52.7,29.8,11.8,99.0,129.0
52.0,29.4,11.8,97.8,127.0
51.4,29.3,11.6,96.6,124.0
50.9,29.2,11.5,95.8,122.0
50.5,29.1,11.4,94.7,120.0
50.2,29.1,11.2,94.3,117.0
50.1,29.3,11.1,93.5,116.0
49.7,29.3,11.0,93.0,114.0
49.6,29.5,11.0,92.7,112.0
49.6,29.6,10.9,92.5,110.0
49.5,30.1,11.0,92.7,109.0
49.2,30.4,11.0,92.5,107.0
